param,seed,avg_edge_len,max_deg,n_edges
1.6,23244,37.3556,8,99
1.6,24244,23.017,10,99
1.6,25244,28.5048,8,99
1.6,26244,25.331,6,99
1.6,27244,28.8775,12,99
1.6,28244,27.66,6,99
1.6,29244,28.1709,6,99
1.6,30244,29.504,11,99
1.6,31244,27.7962,6,99
1.6,32244,30.3641,7,99
1.6,33244,26.1829,6,99
1.6,34244,32.976,6,99
1.6,35244,29.6664,7,99
1.6,36244,31.4147,9,99
1.6,37244,26.1018,8,99
1.6,38244,30.5221,6,99
1.6,39244,27.6602,7,99
1.6,40244,30.3327,7,99
1.6,41244,29.896,6,99
1.6,42244,24.3839,6,99
1.6,43244,25.015,7,99
1.6,44244,26.3607,8,99
1.6,45244,25.7076,5,99
1.6,46244,29.5921,8,99
1.6,47244,30.7933,9,99
1.6,48244,26.4209,10,99
1.6,49244,26.8628,7,99
2.5,245,21.6915,7,99
2.5,1245,22.3381,7,99
2.5,2245,21.291,6,99
2.5,3245,19.5046,7,99
2.5,4245,24.2064,8,99
2.5,5245,26.3158,9,99
2.5,6245,21.4054,6,99
2.5,7245,22.0955,7,99
2.5,8245,21.7238,6,99
2.5,9245,20.677,7,99
2.5,10245,23.793,6,99
2.5,11245,20.7727,8,99
2.5,12245,25.1439,9,99
2.5,13245,20.779,7,99
2.5,14245,22.4237,7,99
2.5,15245,24.4375,6,99
2.5,16245,24.6566,7,99
2.5,17245,21.8144,7,99
2.5,18245,18.2367,8,99
2.5,19245,22.4694,6,99
2.5,20245,21.5964,8,99
2.5,21245,17.1763,5,99
2.5,22245,19.6097,8,99
2.5,23245,20.6528,8,99
2.5,24245,21.4007,6,99
2.5,25245,22.3499,6,99
2.5,26245,24.1855,8,99
2.5,27245,22.9913,10,99
2.5,28245,18.2889,6,99
2.5,29245,21.5723,7,99
2.5,30245,22.2293,8,99
2.5,31245,22.036,8,99
2.5,32245,22.3977,7,99
2.5,33245,20.3838,6,99
2.5,34245,20.8016,5,99
2.5,35245,19.1371,8,99
2.5,36245,21.5774,6,99
2.5,37245,24.1689,8,99
2.5,38245,19.6593,6,99
2.5,39245,22.0961,8,99
2.5,40245,23.0043,6,99
2.5,41245,21.8826,10,99
2.5,42245,22.8623,8,99
2.5,43245,21.5352,5,99
2.5,44245,21.693,9,99
2.5,45245,19.4248,7,99
2.5,46245,19.1909,7,99
2.5,47245,18.5804,6,99
2.5,48245,23.5476,7,99
2.5,49245,21.9801,7,99
